,Year,Player,Age,Tm,G,TS%,3PAr,FTr,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48,3P%,FT%,Pick,GS%,FGA/48,PF/48,MPG,Improvement,Frontcourt,Imprv_prev_year,Tm_WS,Tm_next,Change_team
0,1980.0,Abdul Jeelani,25,POR,77.0,0.563,0.011,0.361,11.5,11.6,1.5,1.8,15.2,24.6,3.8,0.141,0.05,0.789,61.0,0.345292023063154,21.088646967340594,5.785381026438569,16.7012987012987,-2.1999999999999997,0,0.0,37.5,DAL,False
1,1980.0,Adrian Dantley,23,UTA,68.0,0.635,0.002,0.415,11.3,12.3,1.8,0.3,13.5,27.8,10.5,0.189,0.05,0.8420000000000001,6.0,0.8129967176454267,22.743455497382197,3.7875841436050863,39.3235294117647,3.0999999999999996,0,0.0,30.299999999999997,UTA,True
2,1980.0,Alex English,26,IND,78.0,0.536,0.005,0.239,13.1,13.9,1.4,1.4,14.8,23.4,5.3,0.105,0.05,0.789,23.0,0.6364054048315858,22.250728862973762,4.1182840483132015,30.78205128205128,3.000000000000001,0,0.0,42.099999999999994,DEN,False
3,1980.0,Allan Bristow,28,UTA,82.0,0.534,0.009000000000000001,0.31,13.0,21.4,1.9,0.1,16.7,20.0,4.4,0.091,0.05,0.8109999999999999,21.0,0.580904745548572,16.354166666666668,4.395833333333333,28.09756097560976,-1.7000000000000002,0,0.0,30.299999999999997,UTA,True
4,1980.0,Allen Leavell,22,HOU,77.0,0.56,0.029,0.337,4.8,26.3,2.8,0.7,21.4,17.8,4.0,0.091,0.158,0.8140000000000001,61.0,0.5700271889292969,14.831841733396134,4.45407442298634,27.57142857142857,-2.1,0,0.0,41.099999999999994,HOU,True
5,1980.0,Alvan Adams,25,PHO,75.0,0.5710000000000001,0.002,0.27,15.4,21.6,2.3,1.4,18.2,21.9,7.0,0.155,0.05,0.797,4.0,0.5976326507213133,19.37269372693727,5.247232472324724,28.906666666666666,0.7000000000000002,1,0.0,46.8,PHO,True
6,1980.0,Alvin Scott,24,PHO,79.0,0.493,0.01,0.405,9.6,9.3,1.7,2.2,20.6,13.6,1.7,0.062,0.05,0.779,61.0,0.3409994090787773,11.088257866462008,3.7206446661550254,16.49367088607595,2.5999999999999996,0,0.0,46.8,PHO,True
7,1980.0,Anthony Roberts,24,DEN,23.0,0.4270000000000001,0.006,0.331,11.7,5.6,1.2,0.3,11.9,19.0,0.1,0.009000000000000001,0.05,0.65,21.0,0.4368624682895851,17.876543209876548,5.135802469135802,21.130434782608692,-0.30000000000000004,0,0.0,26.2,WSB,False
8,1980.0,Armond Hill,26,ATL,79.0,0.484,0.009000000000000001,0.339,3.5,27.4,2.5,0.2,25.7,13.0,2.5,0.057,0.05,0.8490000000000001,9.0,0.5474833183367629,9.889101338432123,5.988527724665393,26.481012658227854,-1.5,0,0.0,41.900000000000006,SEA,False
9,1980.0,Artis Gilmore,30,CHI,48.0,0.643,0.0,0.6709999999999999,15.5,13.0,0.9,2.1,16.7,20.7,5.6,0.172,0.05,0.7120000000000001,61.0,0.6753690010457646,15.70408163265306,5.112244897959183,32.666666666666664,6.700000000000001,1,0.0,36.199999999999996,CHI,True
10,1980.0,Austin Carr,31,CLE,77.0,0.4970000000000001,0.006999999999999999,0.205,5.5,13.2,1.1,0.1,10.6,24.6,2.0,0.059,0.05,0.738,1.0,0.428258768884705,25.24890282131661,3.61128526645768,20.714285714285715,-2.4,0,0.0,40.60000000000001,WSB,False
11,1980.0,Ben Poquette,24,UTA,82.0,0.5720000000000001,0.004,0.295,13.9,7.7,0.9,3.9,13.9,13.6,4.9,0.099,0.05,0.8320000000000001,36.0,0.5922505413600675,11.565772669220946,5.782886334610473,28.646341463414632,0.5,1,0.0,30.299999999999997,UTA,True
12,1980.0,Bill Cartwright,22,NYK,82.0,0.608,0.0,0.466,12.6,7.0,0.7,1.7,13.2,20.6,9.7,0.14800000000000002,0.05,0.797,3.0,0.7942057068046883,18.51428571428572,4.251428571428572,38.41463414634146,0.3000000000000007,1,0.0,31.499999999999996,NYK,True
13,1980.0,Bill Robinzine,27,KCK,81.0,0.5479999999999999,0.003,0.379,14.7,4.5,2.6,0.7,14.9,20.7,5.5,0.13699999999999998,0.05,0.73,10.0,0.4892979497372376,18.103286384976528,7.7871674491392815,23.66666666666667,-3.2,1,0.0,48.300000000000004,DAL,False
14,1980.0,Bill Willoughby,22,CLE,78.0,0.522,0.02,0.278,12.0,6.2,1.0,2.3,11.7,15.4,3.0,0.099,0.05,0.7559999999999999,19.0,0.38353961715589535,15.1596406357982,6.269523151347616,18.55128205128205,-1.5,0,0.0,40.60000000000001,HOU,False
15,1980.0,Billy Knight,27,IND,75.0,0.589,0.021,0.363,9.8,11.4,2.0,0.3,13.6,19.7,5.8,0.145,0.267,0.809,21.0,0.526512159998943,18.144502617801045,2.4125654450261784,25.466666666666665,2.6000000000000005,0,0.0,42.099999999999994,IND,True
16,1980.0,Billy McKinney,24,KCK,76.0,0.502,0.022,0.29,3.5,24.8,2.0,0.2,14.7,18.2,2.7,0.096,0.1,0.805,61.0,0.3626209230910328,16.52813203300825,3.1327831957989503,17.539473684210527,0.6999999999999997,0,0.0,48.300000000000004,DEN,False
17,1980.0,Billy Paultz,31,SAS,84.0,0.507,0.001,0.27,14.5,10.7,1.4,2.0,13.2,15.3,4.0,0.08800000000000001,0.05,0.599,61.0,0.5397537242322746,14.730506155950751,4.662106703146375,26.107142857142854,-1.2999999999999998,1,0.0,38.5,HOU,False
18,1980.0,Bob Dandridge,32,WSB,45.0,0.4920000000000001,0.015,0.209,8.5,18.2,0.9,1.3,13.4,24.9,1.7,0.056,0.182,0.809,45.0,0.6693963500161082,24.01647220315717,3.689773507206589,32.37777777777778,-1.2,0,0.0,37.6,WSB,True
19,1980.0,Bob Elliott,24,NJN,54.0,0.521,0.018000000000000002,0.667,13.3,10.0,1.8,1.1,23.0,20.5,0.8,0.05,0.05,0.684,42.0,0.2764265412443549,15.157894736842106,6.448753462603878,13.370370370370368,0.8,1,0.0,29.5,NJN,True
20,1980.0,Bob Gross,26,POR,62.0,0.515,0.021,0.242,8.7,20.0,1.8,1.7,24.1,17.9,1.7,0.051,0.1,0.833,25.0,0.5272013120408264,14.330170777988613,5.434535104364326,25.5,2.7,0,0.0,37.5,POR,True
21,1980.0,Bob Lanier,31,DET,63.0,0.5920000000000001,0.006999999999999999,0.408,13.8,12.3,1.6,2.2,13.7,21.6,7.4,0.168,0.05,0.782,1.0,0.6993252386921887,19.528859690286254,4.504927264195214,33.82539682539682,-0.6000000000000005,1,0.0,24.1,MIL,False
22,1980.0,Bob Wilkerson,25,DEN,75.0,0.458,0.033,0.21600000000000005,6.9,14.7,1.8,0.6,14.6,21.7,0.2,0.004,0.206,0.748,11.0,0.6563484046897818,20.764384712305752,3.9109617807643846,31.746666666666666,3.0,0,0.0,26.2,CHI,False
23,1980.0,Brad Holland,23,LAL,38.0,0.477,0.14400000000000002,0.154,4.7,14.8,3.5,0.3,10.5,25.2,0.3,0.081,0.2,0.938,14.0,0.10718127809292344,25.34010152284264,5.847715736040609,5.184210526315789,-0.19999999999999998,0,0.0,55.400000000000006,LAL,True
24,1980.0,Brian Taylor,28,SDC,78.0,0.546,0.267,0.181,3.7,16.4,2.5,0.5,12.7,16.1,5.6,0.098,0.377,0.802,23.0,0.7299710474411443,15.599128540305008,4.287581699346407,35.307692307692314,1.5,0,0.0,21.8,SDC,True
25,1980.0,Brian Winters,27,MIL,80.0,0.534,0.091,0.192,4.6,19.0,1.8,0.6,13.3,21.1,6.2,0.113,0.373,0.86,12.0,0.6778671771975922,20.422417079679754,3.806328631338162,32.7875,-2.7,0,0.0,48.39999999999999,MIL,True
26,1980.0,Caldwell Jones,29,PHI,80.0,0.482,0.004,0.335,18.2,7.4,0.7,3.2,26.3,11.9,3.9,0.068,0.05,0.6970000000000001,32.0,0.7161151155221226,9.215445687477443,5.162035366293757,34.6375,1.6,1,0.0,42.300000000000004,PHI,True
27,1980.0,Calvin Murphy,31,HOU,76.0,0.5429999999999999,0.02,0.238,3.1,16.7,2.5,0.2,10.4,23.1,7.2,0.129,0.04,0.897,18.0,0.7279621831895003,22.72645739910314,4.825112107623318,35.21052631578947,-1.7999999999999998,0,0.0,41.099999999999994,HOU,True
28,1980.0,Calvin Natt,23,NJN,78.0,0.524,0.006999999999999999,0.32299999999999995,12.7,9.1,1.6,0.7,11.8,23.2,7.1,0.12,0.05,0.73,8.0,0.7572720706388341,21.80749037451873,3.4441722086104307,36.62820512820513,-2.8999999999999995,0,0.0,29.5,POR,False
29,1980.0,Campy Russell,28,CLE,41.0,0.508,0.014,0.379,8.9,17.5,2.5,0.8,16.8,25.5,1.8,0.067,0.05,0.745,8.0,0.6711668544489143,22.719759579263712,4.075131480090158,32.46341463414634,2.5,0,0.0,40.60000000000001,NYK,False
30,1980.0,Cedric Maxwell,24,BOS,80.0,0.679,0.0,0.7390000000000001,14.3,9.8,1.3,1.3,18.8,17.7,12.2,0.214,0.05,0.787,12.0,1.0,13.119533527696793,4.653061224489796,34.3,-1.1999999999999993,0,0.0,57.9,BOS,True
31,1980.0,Charlie Criss,31,ATL,81.0,0.5,0.029,0.3670000000000001,3.5,20.0,2.0,0.1,16.2,18.2,2.8,0.075,0.059,0.8109999999999999,61.0,0.4579032456069923,15.464882943143813,3.5585284280936467,22.14814814814815,-0.2999999999999998,0,0.0,41.900000000000006,ATL,True
32,1980.0,Chris Ford,31,BOS,73.0,0.537,0.231,0.161,4.8,13.5,2.5,0.7,12.2,16.2,5.6,0.126,0.4270000000000001,0.754,17.0,1.0,16.090780141843968,4.039716312056737,28.97260273972603,-1.8999999999999995,0,0.0,57.9,BOS,True
33,1980.0,Clemon Johnson,23,IND,79.0,0.527,0.0,0.295,13.2,9.5,1.4,4.3,14.8,13.2,3.5,0.109,0.05,0.632,44.0,0.4032847961553305,12.334847501622324,6.572355613238157,19.50632911392405,0.20000000000000018,1,0.0,42.099999999999994,IND,True
34,1980.0,Cliff Robinson,19,NJN,70.0,0.506,0.005,0.29100000000000004,15.8,9.3,1.7,1.1,12.7,25.0,3.6,0.104,0.05,0.6940000000000001,11.0,0.4905778035293069,24.072245635159543,5.143889223359421,23.728571428571428,-1.1,1,0.0,29.5,NJN,True
35,1980.0,Clifford Ray,31,GSW,81.0,0.546,0.005,0.389,15.3,14.2,1.4,1.1,25.7,14.8,1.9,0.054000000000000006,0.05,0.564,40.0,0.4295714394406734,10.923351158645275,7.5864527629233525,20.777777777777782,-2.1999999999999997,1,0.0,30.3,GSW,True
36,1980.0,Clint Richardson,23,PHI,52.0,0.472,0.009000000000000001,0.129,6.6,14.9,1.1,0.8,14.8,17.5,1.1,0.052000000000000005,0.05,0.622,36.0,0.3928166638735569,16.906882591093115,4.712550607287449,19.0,1.2999999999999998,0,0.0,42.300000000000004,PHI,True
