"Pick","Player","Yrs","Draft"
"1","Mychal Thompson","12",1978
"2","Phil Ford","7",1978
"3","Rick Robey","8",1978
"4","Micheal Ray Richardson","8",1978
"5","Purvis Short","12",1978
"6","Larry Bird","13",1978
"7","Ron Brewer","8",1978
"8","Freeman Williams","6",1978
"9","Reggie Theus","13",1978
"10","Butch Lee","2",1978
"11","James Hardy","4",1978
"12","George Johnson","8",1978
"13","Winford Boynes","3",1978
"14","Roger Phegley","6",1978
"15","Mike Mitchell","10",1978
"16","Jack Givens","2",1978
"17","Rod Griffin","",1978
"18","Dave Corzine","13",1978
"19","Marty Byrnes","4",1978
"20","Frankie Sanders","2",1978
"21","Mike Evans","9",1978
"22","Raymond Townsend","3",1978
"23","Terry Tyler","11",1978
"24","Keith Herron","3",1978
"25","Rick Wilson","2",1978
"26","Ron Carter","2",1978
"27","Wayne Radford","1",1978
"28","Buster Matheney","",1978
"29","John Long","14",1978
"30","Jeff Judkins","5",1978
"31","Marvin Johnson","",1978
"32","John Rudd","1",1978
"33","Harry Davis","2",1978
"34","Greg Bunch","1",1978
"35","Tommie Green","1",1978
"36","Maurice Cheeks","15",1978
"37","Terry Sykes","",1978
"38","Lew Massey","",1978
"39","James Lee","",1978
"40","Wayne Cooper","14",1978
"41","Jerome Whitehead","11",1978
"42","Kevin McDonald","",1978
"43","Glenn Hagan","1",1978
"44","Clemon Johnson","10",1978
"45","Mike Phillips","",1978
"46","Hollis Copeland","2",1978
"47","Billy Ray Bates","4",1978
"48","Mike Santos","",1978
"49","Jeff Cook","8",1978
"50","Dana Skinner","",1978
"51","Ricky Gallon","",1978
"52","Mike Russell","",1978
"53","Randy Ayers","",1978
"54","Steve Grant","",1978
"55","Marc Iavaroni","7",1978
"56","Steve Neff","",1978
"57","Ken Higgs","",1978
"58","Rick Apke","",1978
"59","Pat Cummings","12",1978
"60","Michael Cooper","12",1978
"61","Dave Baxter","",1978
"62","Dave Batton","2",1978
"63","Joel Kramer","5",1978
"64","Gerald Henderson","13",1978
"65","Marvin Dalph","",1978
"66","Sterling Edmunds","",1978
"67","Jackie Robinson","3",1978
"68","Jim Boylan","",1978
"69","Joel Thompson","",1978
"70","Jeffrey Crompton","",1978
"71","Ricky Lee","",1978
"72","Dave Nelson","",1978
